(250, 171, 213)
(145, 64, 157)
(190, 156, 83)
(42, 142, 221)
(71, 210, 28)
(222, 33, 88)
(117, 39, 174)
(173, 85, 53)
(5, 123, 215)
(89, 30, 40)
(55, 207, 113)
(94, 121, 115)
(93, 196, 136)
(60, 29, 178)
(222, 224, 102)
(120, 28, 56)
(2, 152, 36)
(111, 167, 25)
(211, 35, 95)
(40, 226, 130)
(182, 156, 203)
(145, 78, 81)
(176, 167, 10)
(119, 119, 145)
(175, 125, 44)
(93, 66, 158)
(77, 54, 229)
(97, 86, 206)
(42, 253, 13)
(7, 1, 85)
(39, 84, 11)
(248, 133, 162)
(5, 112, 81)
(45, 221, 27)
(198, 251, 142)
(107, 33, 179)
(201, 65, 9)
(181, 78, 166)
(122, 195, 2)
(10, 5, 173)
(116, 62, 25)
(196, 59, 102)
(175, 247, 232)
(208, 5, 220)
(249, 245, 242)
(174, 155, 143)
(206, 167, 19)
(54, 213, 2)
(16, 179, 102)
(50, 133, 198)
(227, 100, 3)
(181, 19, 12)
(84, 24, 186)
(104, 245, 9)
(77, 129, 219)
(172, 76, 199)
(67, 35, 42)
(8, 33, 123)
(254, 181, 57)
(226, 106, 210)
(66, 202, 11)
(62, 25, 67)
(246, 1, 109)
(126, 138, 109)
(23, 105, 14)
(102, 9, 202)
(27, 157, 203)
(226, 114, 222)
(9, 182, 33)
(19, 141, 52)
(137, 213, 160)
(102, 151, 131)
(223, 102, 83)
(130, 85, 251)
(168, 29, 100)
(255, 213, 130)
(52, 71, 35)
(233, 130, 28)
(103, 74, 115)
(101, 175, 221)
